target_x,target_y,gaze_x,gaze_y
7.600000000000000000e+02,5.400000000000000000e+02,1.085000000000000000e+03,-2.920000000000000000e+02
7.680000000000000000e+02,5.250000000000000000e+02,1.097000000000000000e+03,-3.720000000000000000e+02
7.730000000000000000e+02,5.170000000000000000e+02,1.100000000000000000e+03,-4.620000000000000000e+02
7.800000000000000000e+02,5.080000000000000000e+02,1.100000000000000000e+03,-5.670000000000000000e+02
7.870000000000000000e+02,5.010000000000000000e+02,1.093000000000000000e+03,-6.670000000000000000e+02
7.930000000000000000e+02,4.960000000000000000e+02,1.080000000000000000e+03,-7.220000000000000000e+02
8.000000000000000000e+02,4.910000000000000000e+02,1.060000000000000000e+03,-7.350000000000000000e+02
8.070000000000000000e+02,4.880000000000000000e+02,1.037000000000000000e+03,-7.040000000000000000e+02
8.130000000000000000e+02,4.850000000000000000e+02,1.014000000000000000e+03,-6.400000000000000000e+02
8.200000000000000000e+02,4.830000000000000000e+02,9.940000000000000000e+02,-5.770000000000000000e+02
8.270000000000000000e+02,4.820000000000000000e+02,9.770000000000000000e+02,-5.150000000000000000e+02
8.350000000000000000e+02,4.820000000000000000e+02,9.620000000000000000e+02,-4.420000000000000000e+02
8.430000000000000000e+02,4.820000000000000000e+02,9.500000000000000000e+02,-3.700000000000000000e+02
8.510000000000000000e+02,4.830000000000000000e+02,9.410000000000000000e+02,-3.390000000000000000e+02
8.580000000000000000e+02,4.850000000000000000e+02,9.310000000000000000e+02,-3.050000000000000000e+02
8.660000000000000000e+02,4.870000000000000000e+02,9.240000000000000000e+02,-2.780000000000000000e+02
8.740000000000000000e+02,4.900000000000000000e+02,9.220000000000000000e+02,-2.570000000000000000e+02
8.820000000000000000e+02,4.930000000000000000e+02,9.240000000000000000e+02,-2.450000000000000000e+02
8.900000000000000000e+02,4.970000000000000000e+02,9.300000000000000000e+02,-2.360000000000000000e+02
8.970000000000000000e+02,5.010000000000000000e+02,9.410000000000000000e+02,-2.300000000000000000e+02
9.050000000000000000e+02,5.050000000000000000e+02,9.600000000000000000e+02,-2.340000000000000000e+02
9.140000000000000000e+02,5.100000000000000000e+02,9.930000000000000000e+02,-2.390000000000000000e+02
9.240000000000000000e+02,5.160000000000000000e+02,1.028000000000000000e+03,-2.450000000000000000e+02
9.330000000000000000e+02,5.220000000000000000e+02,1.067000000000000000e+03,-2.220000000000000000e+02
9.410000000000000000e+02,5.270000000000000000e+02,1.108000000000000000e+03,-2.140000000000000000e+02
9.510000000000000000e+02,5.340000000000000000e+02,1.144000000000000000e+03,-1.940000000000000000e+02
9.590000000000000000e+02,5.390000000000000000e+02,1.171000000000000000e+03,-1.810000000000000000e+02
9.680000000000000000e+02,5.450000000000000000e+02,1.202000000000000000e+03,-1.630000000000000000e+02
9.770000000000000000e+02,5.510000000000000000e+02,1.232000000000000000e+03,-1.690000000000000000e+02
9.860000000000000000e+02,5.570000000000000000e+02,1.258000000000000000e+03,-1.830000000000000000e+02
9.960000000000000000e+02,5.630000000000000000e+02,1.281000000000000000e+03,-2.240000000000000000e+02
1.004000000000000000e+03,5.680000000000000000e+02,1.302000000000000000e+03,-2.850000000000000000e+02
1.012000000000000000e+03,5.730000000000000000e+02,1.322000000000000000e+03,-3.480000000000000000e+02
1.022000000000000000e+03,5.780000000000000000e+02,1.335000000000000000e+03,-4.160000000000000000e+02
1.031000000000000000e+03,5.830000000000000000e+02,1.350000000000000000e+03,-4.800000000000000000e+02
1.040000000000000000e+03,5.870000000000000000e+02,1.373000000000000000e+03,-5.380000000000000000e+02
1.048000000000000000e+03,5.900000000000000000e+02,1.392000000000000000e+03,-5.670000000000000000e+02
1.056000000000000000e+03,5.920000000000000000e+02,1.407000000000000000e+03,-6.180000000000000000e+02
1.064000000000000000e+03,5.950000000000000000e+02,1.425000000000000000e+03,-6.310000000000000000e+02
1.072000000000000000e+03,5.960000000000000000e+02,1.443000000000000000e+03,-6.170000000000000000e+02
1.080000000000000000e+03,5.970000000000000000e+02,1.457000000000000000e+03,-5.820000000000000000e+02
1.088000000000000000e+03,5.970000000000000000e+02,1.468000000000000000e+03,-5.450000000000000000e+02
1.095000000000000000e+03,5.960000000000000000e+02,1.478000000000000000e+03,-4.810000000000000000e+02
1.103000000000000000e+03,5.950000000000000000e+02,1.493000000000000000e+03,-4.390000000000000000e+02
1.109000000000000000e+03,5.930000000000000000e+02,1.510000000000000000e+03,-3.990000000000000000e+02
1.117000000000000000e+03,5.890000000000000000e+02,1.528000000000000000e+03,-3.800000000000000000e+02
1.123000000000000000e+03,5.850000000000000000e+02,1.548000000000000000e+03,-3.730000000000000000e+02
1.129000000000000000e+03,5.810000000000000000e+02,1.569000000000000000e+03,-3.820000000000000000e+02
1.136000000000000000e+03,5.750000000000000000e+02,1.587000000000000000e+03,-3.970000000000000000e+02
1.142000000000000000e+03,5.680000000000000000e+02,1.602000000000000000e+03,-4.350000000000000000e+02
1.148000000000000000e+03,5.600000000000000000e+02,1.614000000000000000e+03,-4.750000000000000000e+02
1.154000000000000000e+03,5.500000000000000000e+02,1.629000000000000000e+03,-5.140000000000000000e+02
1.159000000000000000e+03,5.400000000000000000e+02,1.644000000000000000e+03,-5.540000000000000000e+02
