round,button_id,button_name,button_x,button_y,click_x,click_y,hit,timestamp
1,8,Button 8,1730,720,1817,561,False,5.797321557998657
2,2,Button 2,1130,420,1346,167,False,12.22778034210205
3,7,Button 7,1430,720,1468,340,False,16.318669319152832
4,1,Button 1,830,420,675,435,False,21.226234912872314
5,9,Button 9,830,1020,892,1046,False,29.654666423797607
6,10,Button 10,1130,1020,917,1013,False,33.037392139434814
7,6,Button 6,1130,720,959,771,False,38.00325655937195
8,11,Button 11,1430,1020,1256,1007,False,42.544854402542114
9,5,Button 5,830,720,579,840,False,48.06870102882385
10,4,Button 4,1730,420,1629,513,False,53.75618767738342
11,3,Button 3,1430,420,1583,480,False,57.655168294906616
12,12,Button 12,1730,1020,1675,1112,False,64.77505445480347
