round,button_id,button_name,button_x,button_y,gaze_x,gaze_y,timestamp
1,8,Button 8,1730,720,1300,795,2.946389675140381
1,8,Button 8,1730,720,1209,318,3.0739986896514893
1,8,Button 8,1730,720,1272,318,3.1332244873046875
1,8,Button 8,1730,720,1107,415,3.1895041465759277
1,8,Button 8,1730,720,1313,190,3.2417125701904297
1,8,Button 8,1730,720,1257,284,3.2956955432891846
1,8,Button 8,1730,720,1300,73,3.3502275943756104
1,8,Button 8,1730,720,1313,190,3.4058661460876465
1,8,Button 8,1730,720,1313,318,3.4539268016815186
1,8,Button 8,1730,720,1865,538,3.512305736541748
1,8,Button 8,1730,720,1981,229,3.5708515644073486
1,8,Button 8,1730,720,1865,370,3.622659683227539
1,8,Button 8,1730,720,2045,370,3.6747825145721436
1,8,Button 8,1730,720,1865,579,3.7373781204223633
1,8,Button 8,1730,720,1984,631,3.7955360412597656
1,8,Button 8,1730,720,2048,538,3.8475215435028076
1,8,Button 8,1730,720,2100,579,3.907902717590332
1,8,Button 8,1730,720,1930,818,3.9663918018341064
1,8,Button 8,1730,720,2048,370,4.016720771789551
1,8,Button 8,1730,720,1927,579,4.072307348251343
1,8,Button 8,1730,720,2100,579,4.1237473487854
1,8,Button 8,1730,720,1873,538,4.1870276927948
1,8,Button 8,1730,720,1750,579,4.241866111755371
1,8,Button 8,1730,720,2045,795,4.306039571762085
1,8,Button 8,1730,720,1927,538,4.362582683563232
1,8,Button 8,1730,720,1814,795,4.420360088348389
1,8,Button 8,1730,720,2095,370,4.478445053100586
1,8,Button 8,1730,720,1865,318,4.527272462844849
1,8,Button 8,1730,720,1927,229,4.574969530105591
1,8,Button 8,1730,720,1981,415,4.622530221939087
1,8,Button 8,1730,720,1865,118,4.670593738555908
1,8,Button 8,1730,720,2048,190,4.716587066650391
1,8,Button 8,1730,720,1927,370,4.7662270069122314
1,8,Button 8,1730,720,1927,370,4.816694974899292
1,8,Button 8,1730,720,1927,538,4.864071607589722
1,8,Button 8,1730,720,1927,538,4.912079095840454
1,8,Button 8,1730,720,1981,370,4.955370187759399
1,8,Button 8,1730,720,2042,370,5.012081861495972
1,8,Button 8,1730,720,2045,538,5.061985015869141
1,8,Button 8,1730,720,1814,499,5.114012956619263
1,8,Button 8,1730,720,1814,1324,5.172311305999756
1,8,Button 8,1730,720,1930,976,5.220243453979492
1,8,Button 8,1730,720,1930,976,5.283507585525513
1,8,Button 8,1730,720,1811,476,5.333185195922852
1,8,Button 8,1730,720,1865,476,5.3753461837768555
1,8,Button 8,1730,720,1750,318,5.420147657394409
1,8,Button 8,1730,720,1927,750,5.480652570724487
1,8,Button 8,1730,720,1927,499,5.528658151626587
1,8,Button 8,1730,720,1814,499,5.583632469177246
1,8,Button 8,1730,720,1927,723,5.632826566696167
1,8,Button 8,1730,720,1993,723,5.682668685913086
1,8,Button 8,1730,720,1873,1006,5.741076469421387
1,8,Button 8,1730,720,1879,284,5.795867681503296
2,2,Button 2,1130,420,2067,435,7.9824113845825195
2,2,Button 2,1130,420,2000,402,8.044990539550781
2,2,Button 2,1130,420,2067,435,8.099036455154419
2,2,Button 2,1130,420,2067,435,8.14499831199646
2,2,Button 2,1130,420,2067,647,8.195525884628296
2,2,Button 2,1130,420,1821,243,8.268159866333008
2,2,Button 2,1130,420,1706,0,8.315818071365356
2,2,Button 2,1130,420,1304,213,8.36566686630249
2,2,Button 2,1130,420,1482,83,8.42408299446106
2,2,Button 2,1130,420,1529,83,8.482450008392334
2,2,Button 2,1130,420,1410,643,8.534154891967773
2,2,Button 2,1130,420,1579,139,8.607410192489624
2,2,Button 2,1130,420,1524,0,8.661724328994751
2,2,Button 2,1130,420,1635,83,8.71545958518982
2,2,Button 2,1130,420,1362,213,8.76851201057434
2,2,Button 2,1130,420,1364,402,8.824146747589111
2,2,Button 2,1130,420,1260,546,8.875897645950317
2,2,Button 2,1130,420,1352,83,8.93228554725647
2,2,Button 2,1130,420,1527,118,8.992985725402832
2,2,Button 2,1130,420,1467,243,9.048990488052368
2,2,Button 2,1130,420,1357,305,9.107783555984497
2,2,Button 2,1130,420,1357,402,9.153093814849854
2,2,Button 2,1130,420,1250,343,9.203182458877563
2,2,Button 2,1130,420,1194,83,9.265566110610962
2,2,Button 2,1130,420,1461,343,9.31565260887146
2,2,Button 2,1130,420,1416,0,9.365390062332153
2,2,Button 2,1130,420,1472,0,9.415644645690918
2,2,Button 2,1130,420,1250,159,9.46977186203003
2,2,Button 2,1130,420,1416,237,9.769523620605469
2,2,Button 2,1130,420,1577,0,9.832325458526611
2,2,Button 2,1130,420,1472,159,9.886416673660278
2,2,Button 2,1130,420,1194,142,9.948891162872314
2,2,Button 2,1130,420,1405,83,10.013120889663696
2,2,Button 2,1130,420,1461,0,10.065824031829834
2,2,Button 2,1130,420,1357,83,10.115530014038086
2,2,Button 2,1130,420,1527,419,10.178073406219482
2,2,Button 2,1130,420,1416,0,10.219661712646484
2,2,Button 2,1130,420,1467,22,10.269570589065552
2,2,Button 2,1130,420,1472,0,10.315584897994995
2,2,Button 2,1130,420,1472,0,10.363545417785645
2,2,Button 2,1130,420,1194,0,10.423801183700562
2,2,Button 2,1130,420,1467,0,10.469691514968872
2,2,Button 2,1130,420,1472,0,10.519987106323242
2,2,Button 2,1130,420,1416,83,10.586307048797607
2,2,Button 2,1130,420,1635,0,10.632168292999268
2,2,Button 2,1130,420,1467,0,10.682138919830322
2,2,Button 2,1130,420,1527,83,10.732025146484375
2,2,Button 2,1130,420,1585,0,10.778276443481445
2,2,Button 2,1130,420,1040,83,10.823753833770752
2,2,Button 2,1130,420,1077,0,10.883033275604248
2,2,Button 2,1130,420,1040,0,10.93616247177124
2,2,Button 2,1130,420,1250,0,10.990361213684082
2,2,Button 2,1130,420,1141,0,11.044620275497437
2,2,Button 2,1130,420,1299,142,11.094570636749268
2,2,Button 2,1130,420,1467,0,11.144842386245728
2,2,Button 2,1130,420,1352,449,11.194738626480103
2,2,Button 2,1130,420,1245,0,11.249034404754639
2,2,Button 2,1130,420,1467,0,11.29910659790039
2,2,Button 2,1130,420,1299,97,11.337228059768677
2,2,Button 2,1130,420,1352,142,11.390265464782715
2,2,Button 2,1130,420,1194,113,11.527155637741089
2,2,Button 2,1130,420,1250,237,11.577554941177368
2,2,Button 2,1130,420,1084,28,11.627801895141602
2,2,Button 2,1130,420,1245,474,11.685929298400879
2,2,Button 2,1130,420,1407,449,11.740213871002197
2,2,Button 2,1130,420,1402,142,11.786449193954468
2,2,Button 2,1130,420,1352,274,11.831809043884277
2,2,Button 2,1130,420,1299,343,11.885967493057251
2,2,Button 2,1130,420,1299,142,11.9402015209198
